2020/06/30 20:34:52 [error] 1656#6988: *145 rewrite or internal redirection cycle while internally redirecting to "/index3.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /index3.html HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin.html"
2020/06/30 20:36:28 [error] 1656#6988: *146 rewrite or internal redirection cycle while internally redirecting to "/static/admin/css/base.css/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/css/base.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/"
2020/06/30 20:36:28 [error] 1656#6988: *154 rewrite or internal redirection cycle while internally redirecting to "/static/admin/css/dashboard.css/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/css/dashboard.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/"
2020/06/30 20:36:28 [error] 1656#6988: *165 rewrite or internal redirection cycle while internally redirecting to "/static/admin/css/responsive.css/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/"
2020/07/02 16:56:15 [error] 12092#20372: *273 rewrite or internal redirection cycle while internally redirecting to "/static/admin/css/base.css/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/css/base.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/"
2020/07/02 16:56:15 [error] 12092#20372: *277 rewrite or internal redirection cycle while internally redirecting to "/static/admin/css/dashboard.css/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/css/dashboard.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/"
2020/07/02 16:56:15 [error] 12092#20372: *279 rewrite or internal redirection cycle while internally redirecting to "/static/admin/css/responsive.css/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/"
2020/07/02 16:56:17 [error] 12092#20372: *280 rewrite or internal redirection cycle while internally redirecting to "/static/admin/css/base.css/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/css/base.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/"
2020/07/02 16:56:17 [error] 12092#20372: *282 rewrite or internal redirection cycle while internally redirecting to "/static/admin/css/dashboard.css/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/css/dashboard.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/"
2020/07/02 16:56:17 [error] 12092#20372: *283 rewrite or internal redirection cycle while internally redirecting to "/static/admin/css/responsive.css/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/"
2020/07/02 16:56:17 [error] 12092#20372: *284 rewrite or internal redirection cycle while internally redirecting to "/static/admin/css/base.css/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/css/base.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/group/"
